,ArrivalRate,ServiceTimeWarm,ServiceTimeCold,IdleMinutesBeforeKill,AverageInstanceCount,AverageUtilization,ColdStartProbability,ColdStartProbabilitySE,AverageRunningInstances,AverageIdleInstances
experiment_13,0.0018631367641819018,1955.000046527747,2563.417463075547,10.0,0.6741935483870968,0.0023923444976076554,0.34298826173826175,0.03176348975512799,0.0016129032258064516,0.6725806451612903
experiment_14,0.0024576618629581367,1954.2007836428556,2462.7508521080017,10.0,0.8135048231511254,0.0049504950495049506,0.210828111946533,0.03708524721752885,0.0040192926045016075,0.8094855305466238
experiment_15,0.002881640680737374,1952.4110773558257,2536.062640528525,10.0,0.7794707297514034,0.00720164609053498,0.14543114043342875,0.02418067184039178,0.006415396952686447,0.773055332798717
experiment_16,0.003453464480801769,1959.8251247810106,2430.1412930855386,10.0,0.9075697211155378,0.005376344086021506,0.11009813675603149,0.022801634765109064,0.004780876494023904,0.9027888446215139
experiment_17,0.004247997269166777,1958.2814464443609,2397.801420905373,10.0,0.9459029435163087,0.01113013698630137,0.07948013592410144,0.012393396049604844,0.010342084327764518,0.9355608591885441
experiment_19,0.0057247758503054915,1951.7069925176036,2358.568004939867,10.0,1.0318979266347688,0.011532125205930808,0.03828475236870019,0.006169975829221841,0.012759170653907496,1.0191387559808613
experiment_18,0.007850937561749665,1969.644856327678,2421.957872130654,10.0,1.1290836653386453,0.018057784911717497,0.033821376876008905,0.005195602130175907,0.022310756972111555,1.1067729083665339
experiment_12,0.01638363227041079,1959.4280868768692,2340.8639073371887,10.0,1.269904458598726,0.019904458598726114,0.01955255921357668,0.002137159721304684,0.025477707006369428,1.2444267515923566
experiment_10,0.05011997483167722,1967.1349511571775,2192.3078695933023,10.0,2.113582208101668,0.04401641514429441,0.008542126411410991,0.0009361250704571258,0.09451945988880063,2.019062748212867
experiment_11,0.09987113315257176,1972.586858761803,2310.1063804192977,10.0,2.7640984908657664,0.07468890653958167,0.005949123396194999,0.0006805377347261904,0.20254169976171565,2.5615567911040507
experiment_0,0.10037738637293372,1975.8880602605868,2244.1262576891027,10.0,2.8888006354249405,0.0724516812284882,0.005658487683960966,0.00041582067620341175,0.2017474185861795,2.687053216838761
experiment_5,0.19807612739820504,1986.1366562956214,2301.9977474212646,10.0,3.7188244638602064,0.1140058247286206,0.0037242831087297436,0.00027528938623029353,0.40667196187450355,3.312152501985703
experiment_1,0.30179128934985394,1991.6797596346114,2270.796701312065,10.0,4.421763304209691,0.14338855478648965,0.002939493732069899,0.00019991284900045951,0.6203335980937251,3.8014297061159654
experiment_6,0.397485817087294,1997.7783597571406,2180.5139324881816,10.0,5.0450045004500454,0.15958595859585958,0.002084642933169204,0.00013737229848656866,0.7884788478847885,4.256525652565257
experiment_2,0.4996728494874295,2006.7396194224252,2152.437480056987,10.0,5.694201747418586,0.17277033927153065,0.0019133093104785875,9.749280728261133e-05,0.9761715647339158,4.718030182684671
experiment_7,0.5956057891943456,2002.3978716234699,2208.7130634873,10.0,6.419380460683082,0.17916241158894056,0.001755948041692015,6.874518435302714e-05,1.13582208101668,5.2835583796664025
experiment_3,0.6972660899741501,2012.6834804681198,2183.5311407684,10.0,6.927720413026211,0.2046180344234355,0.0017512076961520968,0.00011379388168737739,1.4019062748212867,5.525814138204924
experiment_8,0.7979431166958569,2015.4936532006104,2182.832784950733,10.0,7.5639396346306595,0.2106010770625544,0.001560203556088947,6.237019580239642e-05,1.5710881652104844,5.9928514694201755
experiment_4,0.9024594401863006,2016.0483306969988,2163.4318779424293,10.0,7.869841269841269,0.22943720080624838,0.001513391210191625,6.64286246388612e-05,1.784920634920635,6.084920634920635
experiment_9,1.0005331788760239,2021.7483822409881,2172.538336040904,10.0,8.39714058776807,0.2406870620333686,0.0013070399809943605,8.135510049865539e-05,1.9904686258935662,6.406671961874503
